date,forecast
2018-02-08,1416.3122166445537
2018-02-09,1419.4467447749591
2018-02-10,1420.3402809466625
2018-02-11,1416.670394267729
2018-02-12,1418.8027148317233
2018-02-13,1418.7333239779935
2018-02-14,1418.3082848273064
2018-02-15,1418.4010132981143
2018-02-16,1418.6380259682373
2018-02-17,1418.4565828026493
2018-02-18,1418.4792745885752
2018-02-19,1418.5205429413284
2018-02-20,1418.5011596248369
2018-02-21,1418.4878729602742
2018-02-22,1418.5032412702378
2018-02-23,1418.4995530318638
2018-02-24,1418.49622705749
2018-02-25,1418.4986282883901
2018-02-26,1418.4991430397513
2018-02-27,1418.4978873003415
2018-02-28,1418.4983573301706
2018-03-01,1418.4985808210206
2018-03-02,1418.498332837614
2018-03-03,1418.498342256447
2018-03-04,1418.4984388243488
2018-03-05,1418.4983865841973
2018-03-06,1418.498375516354
2018-03-07,1418.4983984469097
2018-03-08,1418.4983932551388
2018-03-09,1418.4983864737153
2018-03-10,1418.4983917489537
2018-03-11,1418.4983918451987
2018-03-12,1418.4983899087892
2018-03-13,1418.4983906913174
2018-03-14,1418.4983911006093
2018-03-15,1418.4983906079733
2018-03-16,1418.4983906792525
2018-03-17,1418.498390828151
2018-03-18,1418.4983907372728
2018-03-19,1418.4983907199116
2018-03-20,1418.4983907627027
2018-03-21,1418.4983907498386
2018-03-22,1418.4983907396902
2018-03-23,1418.4983907489343
2018-03-24,1418.4983907487458
2018-03-25,1418.4983907453013
2018-03-26,1418.4983907469266
2018-03-27,1418.4983907474896
2018-03-28,1418.4983907466328
2018-03-29,1418.498390746796
2018-03-30,1418.498390747049
2018-03-31,1418.4983907468736
2018-04-01,1418.4983907468568
2018-04-02,1418.49839074693
2018-04-03,1418.498390746904
2018-04-04,1418.498390746888
2018-04-05,1418.498390746905
2018-04-06,1418.4983907469034
2018-04-07,1418.4983907468977
2018-04-08,1418.498390746901
2018-04-09,1418.4983907469018
2018-04-10,1418.4983907469002
2018-04-11,1418.4983907469007
2018-04-12,1418.4983907469011
2018-04-13,1418.498390746901
2018-04-14,1418.498390746901
2018-04-15,1418.4983907469011
2018-04-16,1418.4983907469011
2018-04-17,1418.4983907469011
2018-04-18,1418.4983907469011
2018-04-19,1418.4983907469011
2018-04-20,1418.4983907469011
2018-04-21,1418.4983907469011
2018-04-22,1418.4983907469011
2018-04-23,1418.4983907469011
2018-04-24,1418.4983907469011
2018-04-25,1418.4983907469011
2018-04-26,1418.4983907469011
2018-04-27,1418.4983907469011
2018-04-28,1418.4983907469011
2018-04-29,1418.4983907469011
2018-04-30,1418.4983907469011
2018-05-01,1418.4983907469011
2018-05-02,1418.4983907469011
2018-05-03,1418.4983907469011
2018-05-04,1418.4983907469011
2018-05-05,1418.4983907469011
2018-05-06,1418.4983907469011
2018-05-07,1418.4983907469011
2018-05-08,1418.4983907469011
2018-05-09,1418.4983907469011
2018-05-10,1418.4983907469011
2018-05-11,1418.4983907469011
2018-05-12,1418.4983907469011
2018-05-13,1418.4983907469011
2018-05-14,1418.4983907469011
2018-05-15,1418.4983907469011
2018-05-16,1418.4983907469011
2018-05-17,1418.4983907469011
2018-05-18,1418.4983907469011
2018-05-19,1418.4983907469011
2018-05-20,1418.4983907469011
2018-05-21,1418.4983907469011
2018-05-22,1418.4983907469011
2018-05-23,1418.4983907469011
2018-05-24,1418.4983907469011
2018-05-25,1418.4983907469011
2018-05-26,1418.4983907469011
2018-05-27,1418.4983907469011
2018-05-28,1418.4983907469011
2018-05-29,1418.4983907469011
2018-05-30,1418.4983907469011
2018-05-31,1418.4983907469011
2018-06-01,1418.4983907469011
2018-06-02,1418.4983907469011
2018-06-03,1418.4983907469011
2018-06-04,1418.4983907469011
2018-06-05,1418.4983907469011
2018-06-06,1418.4983907469011
2018-06-07,1418.4983907469011
2018-06-08,1418.4983907469011
2018-06-09,1418.4983907469011
2018-06-10,1418.4983907469011
2018-06-11,1418.4983907469011
2018-06-12,1418.4983907469011
2018-06-13,1418.4983907469011
2018-06-14,1418.4983907469011
2018-06-15,1418.4983907469011
2018-06-16,1418.4983907469011
2018-06-17,1418.4983907469011
2018-06-18,1418.4983907469011
2018-06-19,1418.4983907469011
2018-06-20,1418.4983907469011
2018-06-21,1418.4983907469011
2018-06-22,1418.4983907469011
2018-06-23,1418.4983907469011
2018-06-24,1418.4983907469011
2018-06-25,1418.4983907469011
2018-06-26,1418.4983907469011
